OBJECTID,LATITUDE,LONGITUDE,NID_ID,DAM_NAME,OWNER_NAME,OWNER_TYPE,YEAR_CONST,FED_REG,FERC_REG,NERC_REG,NERC_SUBREG,STATE,COUNTY,RIVER,HUC_2,HUC_12,PRMR_PRPS,DAM_MATERIAL,DAM_HEIGHT,HYD_HEIGHT,STR_HEIGHT,MAX_HEIGHT,GATE,SPLLWY_CNTRL,DIST_SUBST,DIST_SUBST_STD,CAP_MW,CAP_MW_STD,CAP_FCTR,CAP_FCTR_STD,HUC12_POP,FSH_PSSG_PCT,FSH_PSSG_PCT_STD,SPECIES_CT,SPECIES_CT_STD,MEAN_ANN_Q,MAX_DLY_Q,MIN_DLY_Q,SCHL_CT_50MI,SCHL_CT_50MI_STD,MFG_CT_50MI,MFG_CT_50MI_STD,HSPT_CT_50MI,HSPT_CT_50MI_STD,NG_CT_50MI,NG_CT_50MI_STD,FSSL_CT_50MI,FSSL_CT_50MI_STD,CAP_50MI,CAP_50MI_STD,CAP_FSSL_RATIO,CAP_FSSL_RATIO_STD,HURR_RISK,FLD_RISK,TRND_RISK,VLCN_RISK,WLDFR_RISK,WNTWTHR_RISK,EQ_RISK,HAZ_TOTAL,HAZ_TOTAL_STD,HHAZ_DAM_CT,FEMA_HAZ,DAM_COND,EAP_PREP,COMP_SCORE,COMP_SCORE_STD,DSLPM,CANCER,RESP,PTRAF,OZONE,PM25,SUM_AQI,SUM_AQI_STD,ELEC_PRC,ELEC_PRC_STD,MAX_HOUR_LOAD,MAX_HOUR_LOAD_STD,HYD_REG_CT,HYD_REG_CT_STD,HYD_FIN_CT,HYD_FIN_CT_STD,CAP_CONSUMP,CAP_CONSUMP_STD,CAP_EXPENSE,CAP_EXPENSE_STD,SOC_VUL,PROT_LAND,IMP_STREAM,CRIT_HAB,GRID_SCORE,COMM_SCORE,INDUSTRY_SCORE,ENV_SCORE,H2_FEASIBILIY,H2_FEAS_STD,BATR_FEASIBILITY,BATR_FEAS_STD,PSH_DIST,PSH_FEASIBILITY,WHOLESALE_MARKET,FERC_DOCKET,PROJECT_NAME,PROJECT_TYPE,PROJECT_SUBCATEGORY,PROJECT_DEVELOPER,DEVELOPER_TYPE,LICENSE_STATUS,WHOLESALE_PRC,WHOLESALE_PRC_STD
1,33.20871222,-87.59254284,AL01981,WILLIAM BACON OLIVER REPLACEMENT,USACE - MOBILE DISTRICT,FEDERAL,1992,YES,UNLIKELY,SERC RELIABILITY CORPORATION (SERC),SOUTHEASTERN,ALABAMA,TUSCALOOSA,BLACK WARRIER,3,31601130201,NAVIGATION,OTHER,,15,20,20,YES,UNCONTROLLED,0.879886118,0.019945713,53.83912747,0.106694995,26.66105829,0.05003014,8088.147805,26.67,0.2667,3,0.272727273,235.5355,2945.707,2.708083,250,0.055679287,446,0.055000617,19,0.085201794,6,0.078947368,3,0.018181818,4911.399902,0.165959313,1.096207365,0.010909323,3,2,4,1,1,1,2,14,0.357142857,2,MODERATE,NOT AVAILABLE,YES,53.67001343,0.486799929,0.089547504,0.247151591,0.202577682,0.011646909,0.428272931,0.516666389,1.495863006,0.50804661,9.840000153,0.200516363,143,0.892086331,0,0,5,0.333333333,366,0.271370421,3696,0.304418228,0.6255,NO,NO,NO,2.504184482,2.551601853,1.392296402,1.999728589,0.875025429,0.347949106,2.584715855,0.488206766,102.4513626,LOW,SOUTHERN COMPANY,P-15022,OLIVER,CH,NON-POWERED DAM,"WARRIOR HYDRO, LLC.",PRIVATE NON-UTILITY,ISSUED PRELIMINARY PERMIT,44.65,0.415647691
2,33.73190075,-114.5118585,AZ10314,PALO VERDE DIVERSION,PALO VERDE IRRIGATION DISTRICT,PRIVATE,1957,NO,LIKELY,WESTERN ELECTRICITY COORDINATING COUNCIL (WECC),CA-MX US,ARIZONA,LA PAZ,COLORADO RIVER,15,1.50301E+11,IRRIGATION,EARTH,14.0208,,15,15,YES,UNCONTROLLED,0.352801902,0.006826581,54.25971352,0.107544617,34.01330234,0.226232474,70.97066964,0,0,1,0.090909091,325.5553,1151.569,2.166794,18,0.004008909,2,0.00024664,3,0.013452915,3,0.039473684,1,0.006060606,591,0.019970264,9.181000596,0.091761567,2,4,2,2,4,1,4,19,0.714285714,1,LOW,NOT RATED,NOT REQUIRED,42.78333664,0.360117183,0.06173506,0.10774115,0.078154474,0.024857616,0.767121566,0.403889235,1.443499101,0.489605822,10.43999958,0.25215143,47,0.201438849,9,0.642857143,5,0.333333333,175,0.012211669,2898,0.119824196,0.7939,NO,NO,YES,2.20086087,3.215241268,1.57934858,1.850575481,0.713484213,0.269505015,2.202102116,0.403490772,42.29395294,LOW,WAPA - DESERT SOUTHWEST,P-15175,PALO VERDE DIVERSION,CH,NON-POWERED DAM,"HYDROPOWER HIGHWAY, LLC",PRIVATE NON-UTILITY,PENDING PRELIMINARY PERMIT,55,0.660013202
3,34.11764508,-117.0975958,CA01530,SEVEN OAKS,COUNTY OF SAN BERNARDINO DEPARTMENT OF PUBLIC WORKS,LOCAL GOVERNMENT,,NO,LIKELY,WESTERN ELECTRICITY COORDINATING COUNCIL (WECC),CA-MX US,CALIFORNIA,SAN BERNARDINO,SANTA ANA RIV,18,1.80702E+11,FLOOD CONTROL AND STORM WATER MANAGEMENT,ROCKFILL,167.64,158,,168,YES,UNCONTROLLED,0.723311047,0.016048558,2.133383435,0.002244776,42.75315718,0.435689996,29851.65959,17.5,0.175,1,0.090909091,1.038179,39.96853,0.001488592,1443,0.321380846,2527,0.311629054,75,0.33632287,3,0.039473684,31,0.187878788,5874.700195,0.19850984,0.036314763,0.000309832,2,4,2,3,4,4,4,23,1,1,HIGH,SATISFACTORY,YES,69.9,0.68,0.039345601,0.099293277,0.071443133,0.025797958,0.95772806,0.307575732,1.501183761,0.509920399,18,0.902753936,47,0.201438849,9,0.642857143,5,0.333333333,175,0.012211669,2898,0.119824196,0.901,NO,YES,YES,2.432178988,4.177160288,2.636269204,2.27432114,1.129024308,0.471290454,2.931290189,0.564943136,2.974795341,MEDIUM,WAPA - DESERT SOUTHWEST,P-15187,SEVEN OAKS HYDRO,CH,NON-POWERED DAM,"HYDROPOWER HIGHWAY, LLC",PRIVATE NON-UTILITY,PENDING PRELIMINARY PERMIT,55,0.660013202
4,41.988617,-72.60346926,CT00583,ENFIELD DAM,"AHLSTROM NONWOVENS, LLC",PRIVATE,1825,YES,LIKELY,NORTHEAST POWER COORDINATING COUNCIL (NPCC),NEW ENGLAND,CONNECTICUT,HARTFORD,CONNECTICUT RIVER,1,10802050105,RECREATION,CONCRETE-STONE-TIMBER CRIB,2.1336,,,2,YES,UNCONTROLLED,3.014310538,0.07307156,29.26385634,0.057050754,52.2267258,0.662731548,43542.03233,66.1,0.661,11,1,525.0321146,4424.70174,49.13407903,1125,0.250556793,2467,0.304229868,56,0.251121076,8,0.105263158,61,0.36969697,7570.399902,0.255808607,0.386556281,0.003812434,3,3,2,1,1,2,1,13,0.285714286,6,LOW,POOR,NO,64.14241028,0.608661909,0.103154399,0.115790057,0.096878086,0.052709909,0.494057932,0.350146319,1.212736701,0.408339144,19.12999916,1,44,0.179856115,12,0.857142857,7,0.466666667,185,0.02578019,3205,0.190839695,0.515,NO,NO,YES,2.441273468,3.254973142,2.95094061,1.681813487,1.183578775,0.497781994,3.327614354,0.652694808,46.65210724,LOW,ISONE,P-15186,ENFIELD DAM,CH,NON-POWERED DAM,"HYDROPOWER HIGHWAY, LLC",PRIVATE NON-UTILITY,PENDING PRELIMINARY PERMIT,67.1,0.945696553
5,39.45857034,-88.14140877,IL00712,RIVERVIEW DAM,CITY OF CHARLESTON,LOCAL GOVERNMENT,1989,NO,LIKELY,SERC RELIABILITY CORPORATION (SERC),GATEWAY,ILLINOIS,COLES,EMBARRAS RIVER,5,51201120802,WATER SUPPLY,EARTH,8.8392,,,9,NO,UNCONTROLLED,1.238122656,0.028862224,1.898755271,0.001770806,47.97966865,0.56094747,2687.029761,36.36,0.3636,2,0.181818182,21.5792,415.8694,0.02075921,255,0.056792873,368,0.045381675,17,0.076233184,9,0.118421053,19,0.115151515,6137.399902,0.207386629,0.030937454,0.000256056,2,3,2,1,1,2,1,12,0.214285714,3,HIGH,NOT AVAILABLE,YES,41.62162781,0.346598966,0.082065867,0.092681094,0.108133874,0.007175758,0.55413555,0.527092021,1.371284163,0.464174174,9.75,0.192771082,158,1,6,0.428571429,1,0.066666667,283,0.158751696,2668,0.066620402,0.4978,NO,NO,NO,2.807036454,2.030152195,1.772008809,1.992811014,1.293873973,0.551341121,3.088117942,0.599666977,267.2063904,LOW,MISO,P-15176,RIVERVIEW DAM,CH,NON-POWERED DAM,"HYDROPOWER HIGHWAY, LLC",PRIVATE NON-UTILITY,PENDING PRELIMINARY PERMIT,45.37,0.432647031
6,41.66303527,-86.17717538,IN00806,BALL BAND DAM (IN-CHANNEL),,PRIVATE,1834,NO,LIKELY,RELIABILITYFIRST CORPORATION (RFC),RFC,INDIANA,ST. JOSEPH,ST. JOSEPH RIVER,4,40500012204,OTHER,CONCRETE,3.048,3,3,3,NO,NO SPILLWAY,1.131937515,0.026219275,2.335396385,0.00265286,66.29963798,1,32456.26856,60.24,0.6024,2,0.181818182,103.868,535.9003,20.63837,468,0.104231626,1703,0.210013565,35,0.156950673,4,0.052631579,7,0.042424242,2755.300049,0.093103333,0.084760147,0.000794311,2,1,3,1,1,2,1,11,0.142857143,2,MODERATE,NOT AVAILABLE,UNKNOWN,49.84489441,0.442288956,0.147401001,0.092652402,0.08629137,0.035140894,0.543961141,0.501571226,1.407018033,0.476758429,9.920000076,0.207401039,128,0.784172662,5,0.357142857,2,0.133333333,378,0.287652646,3579,0.27735369,0.6223,NO,YES,NO,3.334065509,2.559374708,2.393848189,2.340423514,1.587104953,0.693733498,3.805763536,0.758563676,357.5988159,LOW,PJM,P-15170,BALL BAND DAM,CH,NON-POWERED DAM,"HYDROPOWER HIGHWAY, LLC",PRIVATE NON-UTILITY,PENDING PRELIMINARY PERMIT,55.77,0.678193051
7,39.48739227,-86.91704424,IN03002,CAGLES MILL LAKE DAM,USACE - LOUISVILLE DISTRICT,FEDERAL,1953,NO,UNLIKELY,RELIABILITYFIRST CORPORATION (RFC),RFC,INDIANA,PUTNAM,MILL CREEK,5,51202030512,FLOOD CONTROL AND STORM WATER MANAGEMENT,EARTH-ROCKFILL,,46,46,46,YES,UNCONTROLLED,2.541455775,0.0613022,2.421572154,0.002826943,47.97966865,0.56094747,1762.174575,36.36,0.3636,1,0.090909091,10.45872,282.1405,0.1309479,501,0.111581292,1029,0.126896041,42,0.188340807,6,0.078947368,16,0.096969697,6149.700195,0.207802264,0.039377077,0.000340456,2,3,2,1,1,2,1,12,0.214285714,2,HIGH,NOT AVAILABLE,YES,81.91313934,0.815450885,0.098101524,0.09272473,0.081781491,0.012528147,0.551593769,0.523162896,1.359892557,0.460162437,9.920000076,0.207401039,128,0.784172662,5,0.357142857,2,0.133333333,378,0.287652646,3579,0.27735369,0.3484,NO,NO,NO,2.770240593,2.378593232,1.836769293,2.548644687,1.336970791,0.57226885,3.034528754,0.587801587,234.9109802,LOW,MISO,P-15185,CAGLES MILL LAKE DAM,CH,NON-POWERED DAM,"HYDROPOWER HIGHWAY, LLC",PRIVATE NON-UTILITY,PENDING PRELIMINARY PERMIT,45.37,0.432647031
8,30.71298735,-88.32668344,AL00017,BIG CREEK LAKE,MOBILE WATER BOARD CITY,LOCAL GOVERNMENT,1952,NO,LIKELY,SERC RELIABILITY CORPORATION (SERC),SOUTHEASTERN,ALABAMA,MOBILE,BIG CREEK,3,31700080502,RECREATION,EARTH,,17,23,23,YES,INVALID TYPE,1.427665757,0.033579954,2.753773587,0.00349802,26.66105829,0.05003014,16910.65724,26.67,0.2667,2,0.181818182,6.239763,162.9501,0.1343112,259,0.057683742,393,0.048464669,21,0.094170404,12,0.157894737,11,0.066666667,7349.399902,0.248340877,0.037469367,0.000321378,4,3,3,1,1,1,1,14,0.357142857,0,HIGH,NOT RATED,NO,90.54975891,0.915950854,0.112931839,0.167779675,0.157796146,0.019619422,0.380120381,0.484135647,1.322383109,0.446952884,9.840000153,0.200516363,143,0.892086331,0,0,5,0.333333333,366,0.271370421,3696,0.304418228,0.7532,NO,YES,NO,2.380817318,2.618593247,1.268929238,2.448106934,0.844239875,0.332999703,2.470317301,0.462877338,238.751297,LOW,SOUTHERN COMPANY,,,,,,,,44.65,0.415647691
9,34.18496668,-86.80578231,AL00977,LAKE CATOMA DAM,CULLMAN CITY OF,LOCAL GOVERNMENT,1966,NO,LIKELY,SERC RELIABILITY CORPORATION (SERC),SOUTHEASTERN,ALABAMA,CULLMAN,EIGHT MILE CREEK,3,31601090104,RECREATION,ROCKFILL-EARTH,,27,30,30,YES,INVALID TYPE,1.085975128,0.025075271,1.094330623,0.000145797,26.66105829,0.05003014,9159.904184,26.67,0.2667,1,0.090909091,1.750115,47.76242,0.007735366,485,0.108017817,914,0.112714268,38,0.170403587,1,0.013157895,7,0.042424242,4795.200195,0.162032851,0.022821375,0.00017489,3,2,3,1,1,2,1,13,0.285714286,5,HIGH,NOT RATED,NO,77.49920654,0.764088184,0.091745226,0.169881104,0.155130166,0.006170257,0.491145698,0.497893105,1.411965556,0.478500778,9.840000153,0.200516363,143,0.892086331,0,0,5,0.333333333,366,0.271370421,3696,0.304418228,0.5182,NO,YES,NO,2.450219377,2.47013334,1.338331297,2.418554761,0.760400409,0.292287426,2.615952543,0.495123002,45.80277634,LOW,SOUTHERN COMPANY,,,,,,,,44.65,0.415647691
10,33.26678962,-87.50606997,AL01137,LAKE TUSCALOOSA DAM,,LOCAL GOVERNMENT,1971,NO,LIKELY,SERC RELIABILITY CORPORATION (SERC),SOUTHEASTERN,ALABAMA,TUSCALOOSA,NORTH RIVER,3,31601120413,RECREATION,EARTH,,36,38,38,YES,INVALID TYPE,1.33982221,0.031393527,19.73122797,0.037793993,26.66105829,0.05003014,7901.998696,26.67,0.2667,3,0.272727273,19.0876,528.8856,0.1016102,308,0.068596882,599,0.073868541,30,0.134529148,5,0.065789474,4,0.024242424,4139.200195,0.139866196,0.476691801,0.004713837,3,2,4,1,1,1,2,14,0.357142857,5,HIGH,NOT AVAILABLE,UNKNOWN,74.95117188,0.734437995,0.089547504,0.247151591,0.202577682,0.011646909,0.428272931,0.516666389,1.495863006,0.50804661,9.840000153,0.200516363,143,0.892086331,0,0,5,0.333333333,366,0.271370421,3696,0.304418228,0.6255,NO,YES,NO,2.44270359,2.607651316,1.33081551,2.241171169,0.811834457,0.317263697,2.572562317,0.485515804,96.85704041,LOW,SOUTHERN COMPANY,,,,,,,,44.65,0.415647691
